id_run,Network1,Coalition1,Pathos1,Team1,Exchange1,Allocentrism1,Agency1,SA1,Intentionality1,Logos1,Might1,Ethos1,Network3,Coalition3,Pathos3,Team3,Exchange3,Allocentrism3,Agency3,SA3,Intentionality3,Logos3,Might3,Ethos3
150,37.7,46.9,25.5,12.2,62.2,28.8,6.6,37.7,77.7,75.5,47.1,87.7,70,16.1,90,98.8,56.6,66.6,87.7,97.7,78.8,83.3,76.4,63.3
3,1.1,18.1,1.1,4.4,4.4,7.7,50,2.2,6.6,14.4,10.1,3.3,75.5,88.2,61.1,36.6,71.1,81.1,76.6,13.3,98.8,74.4,98.8,86.6
73,56.6,47.3,48.8,91.1,51.1,14.4,67.7,61.1,52.2,53.3,13.4,64.4,87.7,91.6,98.8,88.8,98.8,98.8,93.3,100,61.1,94.4,100,90
129,73.3,16.2,46.6,85.5,55.5,45.5,57.7,91.1,88.8,30,41.5,55.5,75.5,32.8,26.6,44.4,16.6,81.1,44.4,47.7,35.5,41.1,38.2,21.1
142,74.4,55.5,93.3,84.4,93.3,84.4,97.7,74.4,96.6,84.4,93.2,85.5,67.7,18,33.3,50,17.7,64.4,48.8,44.4,21.1,28.8,5.6,13.3
46,10,3.2,34.4,44.4,12.2,5.5,10,92.2,43.3,38.8,1.1,33.3,51.1,15.9,63.3,92.2,18.8,88.8,54.4,67.7,31.1,81.1,31.4,31.1
65,6.6,2.8,32.2,13.3,5.5,1.1,7.7,1.1,8.8,2.2,2.2,6.6,48.8,16.3,36.6,72.2,11.1,21.1,14.4,55.5,45.5,43.3,23.5,27.7
106,53.3,47.3,83.3,90,53.3,57.7,74.4,80,58.8,66.6,79.7,56.6,63.3,67.7,85.5,76.6,77.7,58.8,57.7,83.3,84.4,97.7,95.5,73.3
18,42.2,13.8,22.2,81.1,25.5,22.2,63.3,75.5,36.6,33.3,23.5,35.5,86.6,55.5,67.7,60,81.1,86.6,85.5,84.4,51.1,65.5,62.9,76.6
145,80,16.5,88.8,94.4,78.8,67.7,35.5,53.3,65.5,57.7,50.5,65.5,70,16.1,90,98.8,56.6,66.6,87.7,97.7,78.8,83.3,76.4,63.3
95,87.7,91.6,98.8,88.8,98.8,98.8,93.3,100,61.1,94.4,100,90,75.5,88.2,61.1,36.6,71.1,81.1,76.6,13.3,98.8,74.4,98.8,86.6
5,75.5,32.8,26.6,44.4,16.6,81.1,44.4,47.7,35.5,41.1,38.2,21.1,27.7,59.4,20,24.4,58.8,51.1,44.4,10,30,23.3,65.1,34.4
93,67.7,18,33.3,50,17.7,64.4,48.8,44.4,21.1,28.8,5.6,13.3,61.1,86.7,82.2,23.3,54.4,54.4,77.7,43.3,67.7,55.5,88.7,72.2
22,51.1,15.9,63.3,92.2,18.8,88.8,54.4,67.7,31.1,81.1,31.4,31.1,55.5,36.5,56.6,55.5,12.2,31.1,67.7,45.5,28.8,53.3,37,62.2
112,48.8,16.3,36.6,72.2,11.1,21.1,14.4,55.5,45.5,43.3,23.5,27.7,12.2,2.1,5.5,18.8,1.1,3.3,27.7,27.7,10,25.5,31.4,16.6
83,63.3,67.7,85.5,76.6,77.7,58.8,57.7,83.3,84.4,97.7,95.5,73.3,27.7,68.2,72.2,63.3,87.7,50,51.1,16.6,81.1,62.2,46,75.5
134,86.6,55.5,67.7,60,81.1,86.6,85.5,84.4,51.1,65.5,62.9,76.6,17.7,51.1,4.4,0,12.2,25.5,20,5.5,11.1,1.1,56.1,11.1
32,70,16.1,90,98.8,56.6,66.6,87.7,97.7,78.8,83.3,76.4,63.3,35.5,16.1,52.2,53.3,10,51.1,55.5,22.2,26.6,34.4,8.9,15.5
14,75.5,88.2,61.1,36.6,71.1,81.1,76.6,13.3,98.8,74.4,98.8,86.6,75.5,72.7,80,35.5,85.5,71.1,11.1,38.8,73.3,77.7,66.2,100
15,27.7,59.4,20,24.4,58.8,51.1,44.4,10,30,23.3,65.1,34.4,91.1,85.6,63.3,47.7,65.5,60,82.2,33.3,91.1,37.7,70.7,73.3
131,61.1,86.7,82.2,23.3,54.4,54.4,77.7,43.3,67.7,55.5,88.7,72.2,71.1,87,15.5,1.1,18.8,77.7,78.8,3.3,15.5,12.2,94.3,28.8
74,55.5,36.5,56.6,55.5,12.2,31.1,67.7,45.5,28.8,53.3,37,62.2,37.7,46.9,25.5,12.2,62.2,28.8,6.6,37.7,77.7,75.5,47.1,87.7
6,12.2,2.1,5.5,18.8,1.1,3.3,27.7,27.7,10,25.5,31.4,16.6,1.1,18.1,1.1,4.4,4.4,7.7,50,2.2,6.6,14.4,10.1,3.3
138,27.7,68.2,72.2,63.3,87.7,50,51.1,16.6,81.1,62.2,46,75.5,56.6,47.3,48.8,91.1,51.1,14.4,67.7,61.1,52.2,53.3,13.4,64.4
154,17.7,51.1,4.4,0,12.2,25.5,20,5.5,11.1,1.1,56.1,11.1,73.3,16.2,46.6,85.5,55.5,45.5,57.7,91.1,88.8,30,41.5,55.5
62,35.5,16.1,52.2,53.3,10,51.1,55.5,22.2,26.6,34.4,8.9,15.5,74.4,55.5,93.3,84.4,93.3,84.4,97.7,74.4,96.6,84.4,93.2,85.5
80,66.6,36.4,51.1,81.1,44.4,54.4,72.2,41.1,74.4,24.4,44.9,53.3,10,3.2,34.4,44.4,12.2,5.5,10,92.2,43.3,38.8,1.1,33.3
68,42.2,15.9,8.8,26.6,35.5,43.3,96.6,57.7,3.3,6.6,25.8,1.1,6.6,2.8,32.2,13.3,5.5,1.1,7.7,1.1,8.8,2.2,2.2,6.6
144,94.4,57.4,75.5,77.7,94.4,92.2,81.1,77.7,75.5,84.4,80.8,88.8,53.3,47.3,83.3,90,53.3,57.7,74.4,80,58.8,66.6,79.7,56.6
24,95.5,42.2,83.3,100,73.3,76.6,53.3,64.4,90,78.8,74.1,93.3,42.2,13.8,22.2,81.1,25.5,22.2,63.3,75.5,36.6,33.3,23.5,35.5
